
d:[61,61,460,294,69,60,1052,true,3] S:[,61,UP] ->:[,61,120,0]
d:[62,62,520,318,48,48,996,true,3] S:[,62,UP] ->:[,62,430,0]
d:[63,63,550,330,36,30,1002,true,3] S:[,63,UP] ->:[,63,460,0]
d:[64,64,580,342,24,12,1008,true,3] S:[,64,UP] ->:[,64,450,0]
d:[65,65,950,394,88,27,1011,true,3] S:[,65,UP] ->:[,65,80,0]
d:[69,69,1040,515,80,62,934,false,3] S:[,69,UP] ->:[,69,80,0]
d:[69,69,1040,527,68,48,98,true,3] S:[,69,UP] ->:[,69,100,0]
d:[69,69,1050,539,56,30,134,true,3] S:[,69,RIGHT] ->:[,69,90,0]
d:[72,72,1180,3815,52,52,492,false,2] S:[,72,UP] ->:[,72,150,0]
d:[72,72,1180,3827,64,52,480,false,2] S:[,72,UP] ->:[,72,170,0]
d:[72,72,1180,3839,76,60,508,false,2] S:[,72,UP] ->:[,72,170,0]
d:[101,101,340,123,85,25,323,true,3] S:[,101,RIGHT] ->:[,101,250,0]
d:[102,102,340,135,73,7,287,true,3] S:[,102,DOWN] ->:[,102,290,0]
d:[103,103,580,151,57,3,423,false,3] S:[,103,RIGHT] ->:[,103,80,0]
d:[104,104,590,176,32,34,478,true,3] S:[,104,UP] ->:[,104,230,0]
d:[105,105,630,192,16,42,470,true,3] S:[,105,UP] ->:[,105,190,0]
d:[106,106,660,204,28,48,464,true,3] S:[,106,UP] ->:[,106,360,0]
d:[107,107,820,256,100,28,456,true,3] S:[,107,RIGHT] ->:[,107,200,0]
d:[108,108,820,268,112,34,432,true,3] S:[,108,UP] ->:[,108,220,0]
d:[109,109,1020,320,100,44,197,true,3] S:[,109,RIGHT] ->:[,109,420,0]
d:[110,110,1020,332,112,26,191,true,3] S:[,110,RIGHT] ->:[,110,420,0]
d:[111,111,1040,344,124,8,185,true,3] S:[,111,RIGHT] ->:[,111,1200,0]
d:[112,112,1440,356,136,37,226,true,3] S:[,112,RIGHT] ->:[,112,800,0]
d:[113,113,1440,368,136,19,220,true,3] S:[,113,RIGHT] ->:[,113,2400,0]
d:[114,114,2240,380,124,22,235,true,3] S:[,114,RIGHT] ->:[,114,1600,0]
d:[115,115,2240,392,112,4,229,true,3] S:[,115,RIGHT] ->:[,115,1600,0]
d:[117,117,3840,456,112,13,251,false,3] S:[,117,RIGHT] ->:[,117,70,0]
d:[118,118,3840,468,100,11,132,false,3] S:[,118,RIGHT] ->:[,118,130,0]
d:[119,119,3840,520,112,11,310,false,3] S:[,119,UP] ->:[,119,130,0]
d:[119,119,3910,548,108,11,375,false,3] S:[,119,RIGHT] ->:[,119,60,0]
